,Product Name,Actual Price,Discont Price
109,ارز العثيم بسمتي 10 كيلو,73.45,
110,ارز باب القصر بسمتي ابيض 5 كيلو,23.95,
111,ارز كوهينور بسمتي هندي 5 كيلو,55.60,
112,ارز كوهينور بسمتي هندي 10 كيلو,110.20,
113,ارز تلدا بسمتي 2 كيلو,33.08,
114,ارز تلدا بسمتي 10 كيلو,130.95,
115,ارز المهيدب بنجابي 20 كيلو,175.00,
116,ارز ابو بنتين 5 كيلو,29.35,
117,ارز ابو بنت ذهبي 5 كيلو,31.45,
118,ارز كوهينور بسمتي هندي 2 كيلو,21.95,
119,ارز الوليمة ستايل مزة 2 كيلو,18.95,
120,ارز المهيدب بنجابي 10 كيلو,76.95,
121,ارز الوليمة مزة كيس 40 كيلو,269.00,
122,معجون طماطم لونا 8×135جرام,7.30,5.95
123,ارز جرين فارمز مصري 5 كيلو,28.95,19.95
124,جبن المراعي كاسات طعم القشطة 900جرام,25.20,18.95
125,شاي ليبتون أكياس 200حبه,35.70,22.95
126,بسكويت اوريو الاصلي 16* 38 جرام,15.70,8.95
127,حليب نيدو بودرة 1800جرام,58.95,43.95
128,دجاج دو مجمد 10*1100جرام,141.00,110.95
129,سكر حلواني ابيض نقي 5 كجم,17.80,8.95
